Country,Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,mean
Bolivia,BOL,27.42900085,29.84700012,31.24699974,31.94799995,34.03099823,33.17900085,32.41500092,35.67599869,34.68299866,31.93099976,33.40999985,35.09400177,34.05899811,32.68838442
Brazil,BRA,65.30599976,66.50499725,67.7440033,68.59400177,69.69799805,71.23400116,72.61000061,75.48500061,75.36299896,75.78299713,74.90499878,74.58300018,73.5739975,71.6449227
Barbados,BRB,89.59899902,89.37200165,89.21399689,89.05899811,88.84999847,88.61100006,88.52600098,88.32099915,88.08200073,88.08999634,88.05400085,88.13600159,88.15499878,88.62069174
Brunei Darussalam,BRN,94.46499634,94.36000061,94.19400024,93.97899628,93.76799774,93.61000061,93.46099854,93.26000214,92.99099731,92.7009964,92.40299988,91.96800232,91.46600342,93.27892245
Bhutan,BTN,18.78700066,19.3220005,20.42499924,20.87299919,21.35199928,22.24099922,15.96500015,14.35000038,14.5369997,15.18799973,15.06099987,15.34799957,15.61900043,17.62061523
Botswana,BWA,66.46199799,66.6760025,67.00499725,67.06600189,66.85299683,67.40899658,67.98699951,67.87599945,68.24900055,68.60099792,68.59700012,68.88600159,69.0739975,67.7493069
Central African Republic,CAF,2.315999985,2.319000006,2.323999882,2.334000111,2.335000038,2.335000038,2.335000038,2.334000111,2.394000053,2.351000071,2.346999884,2.357000113,2.371000051,2.342461568
Canada,CAN,88.52100372,88.61299896,88.57499695,88.60099792,88.12599945,88.46399689,88.51999664,88.53099823,88.21800232,88.31500244,88.0739975,88.26300049,88.13999939,88.38161469
Central Europe and the Baltics,CEB,79.85667452,80.85014772,81.38593857,82.02136321,81.76251342,81.14364981,81.50504088,81.8095668,82.31417005,82.94345321,83.8498026,84.7244489,85.08126446,82.24984878
Switzerland,CHE,86.57900238,86.5,86.0739975,86.78399658,87.05999756,86.8769989,87.0510025,87.07499695,87.01599884,86.97200012,86.9280014,86.9980011,87.19400024,86.85446108
Channel Islands,CHI,89.38700104,89.52400208,89.6309967,89.65399933,89.46900177,89.54599762,89.66600037,89.68199921,89.69599915,89.72799683,89.75,89.78099823,89.83699799,89.64238387
Chile,CHL,74.54100037,73.74199677,74.39099884,74.34100342,74.19000244,74.01000214,72.56500244,73.58100128,73.51100159,73.02700043,73.38700104,72.59899902,72.11000061,73.53807772
China,CHN,40.31000137,41.39099884,42.41799927,43.40999985,44.31299973,45.28900146,46.20299911,47.00799942,47.77700043,48.53699875,49.20399857,49.90299988,50.63000107,45.87638444
Cote d'Ivoire,CIV,9.956999779,10.04500008,10.1260004,10.24199963,10.37199974,10.41399956,10.45600033,10.72999954,12.77400017,13.09000015,13.42599964,13.74300003,13.98999977,11.48961529
Cameroon,CMR,9.312999725,9.449000359,9.56499958,10.08500004,10.53499985,11.06599998,11.68700027,12.34799957,12.9989996,13.67199993,13.76200008,13.85499954,13.94799995,11.71415373
"Congo, Dem. Rep.",COD,4.171000004,4.598999977,5.072000027,5.612999916,6.188000202,6.828999996,7.502999783,8.178999901,8.237999916,8.303999901,8.361000061,8.43500042,8.513999939,6.923538465
"Congo, Rep.",COG,8.085000038,8.170999527,8.05300045,8.154999733,8.140999794,8.362999916,8.43200016,8.454000473,8.437999725,8.456999779,8.255000114,8.166999817,8.144000053,8.254999968
Colombia,COL,51.90299988,51.76300049,51.54199982,51.38199997,48.81900024,47.95899963,47.03499985,47.01100159,48.39699936,49.76499939,50.41899872,50.68199921,51.04999924,49.82515364
Comoros,COM,16.36300087,16.4279995,16.45899963,16.46899986,16.5170002,16.47900009,16.52700043,16.58200073,16.64100075,16.75300026,16.8579998,16.91699982,16.99300003,16.61430784
