Country,Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,mean
Guinea-Bissau,GNB,2.248600006,2.587189913,,,,,,,,,,,,2.417894959
Greece,GRC,85.27268982,89.29553223,86.10646057,,,101.8093796,107.0247803,110.3127899,112.0092163,117.4259262,,126.3826218,,103.959933
Grenada,GRD,,,,,52.78150177,,,,,,91.14774323,91.35765076,94.42616272,78.42896525
Guatemala,GTM,,,17.31854057,,,,,,19.5921402,18.18073082,21.78329086,,,19.21867561
Guyana,GUY,11.63214016,11.61050034,11.77003956,11.36997032,10.94114971,11.74773026,11.69408035,11.52985001,,,,,,11.53693259
High income,HIC,66.35234833,67.48078918,68.12117004,68.98136139,70.54663849,73.34143066,75.06545258,75.54992676,74.66945648,75.45867157,76.0701828,77.13326263,77.12782288,72.39755758
"Hong Kong SAR, China",HKG,33.17887115,34.14028931,42.15071869,54.88444901,55.8996582,59.06798172,61.14744186,60.36130905,66.91937256,68.73282623,68.99179077,71.77606964,73.75862122,56.43756485
Honduras,HND,,,,17.68530083,,19.38689041,,19.15821075,19.78458023,20.05171967,20.78354073,,,19.47504044
Heavily indebted poor countries (HIPC),HPC,4.760580063,5.143770218,5.48623991,6.029709816,6.6364398,7.27835989,7.547100067,7.935440063,8.327630043,8.560150146,8.638930321,8.743439674,8.798319817,7.090649168
Croatia,HRV,44.7639389,45.585289,47.18849945,49.1658783,48.78757858,54.0298996,57.22782135,60.36853027,65.25537872,67.55912018,66.99720001,67.48345947,,56.20104949
Hungary,HUN,64.9865036,67.53781128,68.28022766,66.48246002,64.60861969,63.72238922,62.58821106,61.45306015,57.04961014,51.99847031,48.94694901,48.03065109,,60.47374694
IBRD only,IBD,22.10490036,23.13495064,24.30699921,25.66064072,26.85379028,28.4134407,30.79424095,32.69350052,34.07736969,37.82714844,39.64200974,40.86684036,41.59141922,30.5313193
IDA & IBRD total,IBT,18.4338398,19.30927086,20.30554008,21.43617058,22.47919083,23.75807953,25.53939056,26.90800095,27.83081055,30.43668938,31.64694023,32.43675995,32.87435913,25.04339027
IDA total,IDA,6.509300232,6.87198019,7.266610146,7.720210075,8.44192028,9.110110283,9.594900131,10.02241993,10.33549976,10.53429031,10.73591042,10.91559982,11.03569031,9.004895965
IDA blend,IDB,7.512559891,7.595839977,7.834259987,7.828660011,8.367480278,8.803059578,9.451700211,10.03672981,10.39463997,10.54529953,10.54074955,10.74246025,10.92253017,9.137786587
Indonesia,IDN,17.25584984,17.31292915,17.76985931,20.42921066,22.37511063,23.03973961,24.77696991,28.69833946,29.46726036,29.56034088,,,36.27719116,23.06856098
IDA only,IDX,5.991149902,6.495820045,6.97025013,7.663509846,8.480839729,9.269889832,9.668820381,10.01511955,10.3056097,10.52875996,10.83302975,11.00144958,11.09148026,8.935354034
India,IND,10.73248005,11.54214001,13.19023991,15.11898994,16.10565948,17.91488075,22.86528015,24.37171936,23.89487076,25.5373497,26.87558937,26.92859077,27.54030991,19.58981586
Ireland,IRL,58.86931992,58.44118118,58.30199051,54.01747131,56.50397873,63.12643814,67.79859161,68.19725037,71.69954681,73.81323242,77.23214722,77.55713654,,65.4631904
"Iran, Islamic Rep.",IRN,22.85648918,25.16653061,29.63306046,35.90436935,36.25790024,42.46472931,48.33324051,54.64028931,57.54747009,65.61730957,,68.84613037,,44.29704718
Iraq,IRQ,16.07707977,,,,,,,,,,,,,16.07707977
Iceland,ISL,69.88067627,72.12460327,71.11840057,73.74185181,74.41175079,78.8184433,81.4707489,81.96996307,80.31036377,81.44464874,75.76605988,73.60044098,,76.22149595
Israel,ISR,58.10115051,57.69247818,60.54045868,59.75788116,62.45230103,,65.84584045,67.80564117,66.28900909,66.18859863,64.74823761,64.16390991,62.65269852,63.05322786
