Country,Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,mean
Burundi,BDI,7.827000141,7.828000069,7.826000214,7.827000141,7.868000031,7.877999783,7.897999763,7.943999767,7.988999844,8.015999794,7.929999828,7.921999931,7.909999847,7.897153781
Belgium,BEL,82.49099731,82.39199829,82.59300232,83.0059967,82.33999634,82.71199799,82.53800201,82.45300293,81.22599792,82.14900208,81.26399994,81.56999969,82.6289978,82.25869164
Benin,BEN,12.51099968,12.61800003,12.75399971,12.85499954,12.95199966,13.05099964,15.15299988,15.26399994,15.46000004,15.65100002,15.78299999,15.91699982,16.1079998,14.31361521
Burkina Faso,BFA,8.475000381,8.576999664,9.187999725,9.76099968,10.44699955,11.26500034,12.17800045,12.92500019,13.6590004,14.52799988,14.6619997,14.97799969,15.21100044,11.98876924
Bangladesh,BGD,39.375,39.73699951,41.03099823,42.33200073,43.64300156,45.02600098,45.16699982,45.22299957,45.17499924,44.84999847,44.39699936,43.82899857,43.01699829,43.2924611
Bulgaria,BGR,83.41400146,84.1989975,84.99299622,85.38999939,85.24199677,85.26999664,85.48000336,85.91000366,85.11000061,84.70800018,85.13600159,85.81900024,85.61100006,85.09861521
Bahrain,BHR,95.35099792,95.30999756,95.54299927,95.64600372,95.77200317,97.50700378,97.46299744,97.45200348,97.45700073,97.44999695,97.42199707,97.40699768,97.38899994,96.70530759
"Bahamas, The",BHS,82.4280014,82.64800262,82.91799927,83.00299835,81.11599731,80.79100037,80.41500092,80.40599823,80.3789978,80.39399719,80.48600006,80.4489975,80.49299622,81.22507594
Bosnia and Herzegovina,BIH,71.78099823,71.93900299,72.57800293,72.38999939,74.22100067,74.21700287,74.89399719,72.6969986,74.60700226,76.48799896,76.17199707,75.9260025,75.56199646,74.11323078
Belarus,BLR,94.05400085,94.04799652,94.06500244,94.12200165,94.08599854,94.07299805,94.10199738,94.1269989,94.12799835,94.1269989,94.09600067,94.07099915,94.06199646,94.08930676
Belize,BLZ,67.05200195,67.4240036,67.67199707,67.98799896,68.21800232,68.5039978,68.84600067,69.02100372,69.26599884,69.54199982,69.79100037,70.19200134,65.9489975,68.42038492
Bolivia,BOL,41.2820015,39.24900055,43.64199829,44.66600037,47.94900131,46.49499893,45.11800003,44.68099976,43.62400055,41.29800034,42.65200043,40.61800003,39.52399826,43.13830772
Brazil,BRA,62.18899918,62.67699814,63.79100037,64.93299866,64.99900055,65.45400238,65.66999817,66.3010025,65.93399811,65.79599762,64.15799713,63.61399841,63.31800079,64.52569169
Barbados,BRB,80.06099701,79.82099915,79.67099762,79.52700043,79.25700378,78.98000336,78.95200348,78.71700287,78.41799927,78.43599701,78.39099884,78.53500366,78.56800079,79.02569287
Brunei Darussalam,BRN,92.75299835,92.65899658,92.48699951,92.2559967,92.04100037,91.88700104,91.73699951,91.52400208,91.23000336,90.91600037,90.94400024,90.86499786,90.80500031,91.70030741
Bhutan,BTN,32.42399979,33.15800095,34.71300125,35.31900024,36.06999969,37.20999908,38.00799942,40.91199875,38.6230011,37.60100174,34.92300034,35.56999969,36.1780014,36.20838488
Botswana,BWA,71.43599701,71.70400238,72.02100372,72.08999634,71.8690033,72.40000153,72.91300201,72.85700226,73.22200012,73.52700043,73.52700043,73.79699707,73.96600342,72.71761615
Central African Republic,CAF,8.12899971,8.152999878,8.171999931,8.184000015,8.166999817,8.163000107,8.151000023,8.145000458,7.863999844,7.861000061,7.863999844,7.892000198,7.936999798,8.052461514
Canada,CAN,80.79000092,81.31500244,80.88700104,80.70899963,80.04499817,80.32099915,80.96199799,81.13300323,81.25700378,81.42299652,81.51899719,81.43399811,81.7009964,81.03815343
Central Europe and the Baltics,CEB,74.80817943,75.74825098,76.47017923,77.04157362,76.59085518,75.61783742,76.26023429,76.48627289,76.86176148,77.08695238,77.8564071,78.5919661,78.75084378,76.78240876
Switzerland,CHE,81.81700134,82.06700134,82.01699829,81.86199951,82.77600098,82.09400177,82.53299713,82.6740036,82.66000366,82.79599762,83.57700348,83.15200043,83.37400055,82.56915459
Channel Islands,CHI,81.27200317,81.38899994,81.48100281,81.5059967,81.29499817,81.375,81.55599976,81.55999756,81.55999756,81.57299805,81.56900024,81.58999634,81.64600372,81.49015339
Chile,CHL,67.73699951,69.58399963,70.8239975,71.80500031,71.89199829,71.69999695,72.36100006,73.72599792,73.11299896,72.76599884,72.89499664,71.91000366,70.77999878,71.62253747
China,CHN,46.38499832,47.26699829,48.07400131,48.83599854,49.49700165,50.26200104,50.94800186,51.50600052,52.0340004,52.56000137,52.98099899,53.45299911,53.97499847,50.59830768
Cote d'Ivoire,CIV,27.94599915,28.14500046,28.31900024,28.5739994,28.86599922,28.9489994,29.04100037,29.56399918,30.31699944,31.14900017,31.98500061,32.74499893,33.20700073,29.90823056
Cameroon,CMR,27.99500084,27.24399948,26.42399979,26.96800041,27.3010006,27.77099991,28.375,29.03100014,29.62999916,30.24699974,30.45999908,30.68199921,30.8939991,28.6939998
"Congo, Dem. Rep.",COD,16.68899918,17.76099968,18.98200035,20.36800003,21.61499977,23.23900032,24.80599976,26.30400085,26.61100006,26.95700073,27.13599968,27.20199966,27.38199997,23.46553847
"Congo, Rep.",COG,34.52600098,34.82400131,34.43799973,34.74000168,34.74000168,35.45800018,35.68600082,35.76200104,35.72700119,35.82099915,35.24200058,34.92599869,34.76599884,35.12738507
Colombia,COL,47.16500092,47.25500107,47.28099823,47.36000061,46.29999924,45.68500137,46.06000137,46.68899918,47.14599991,47.58000183,47.88999939,47.57600021,47.36999893,47.02746171
Comoros,COM,38.88000107,38.94599915,38.95600128,38.93799973,39.00999832,38.92599869,38.99900055,39.09700012,39.20500183,39.36299896,39.5019989,39.60200119,39.72700119,39.16546161
Cabo Verde,CPV,64.96600342,66.14199829,67.45800018,68.72799683,69.65899658,70.45400238,71.27600098,71.97200012,72.71900177,73.46499634,74.05899811,70.84799957,66.51799774,69.86646095
Costa Rica,CRI,70.48500061,69.03900146,71.3259964,71.40499878,71.44799805,72.89299774,75.45999908,75.1989975,71.88200378,73.42500305,73.63600159,74.07299805,73.65000153,72.60930751
